gurmukhi,shahmukhi,part_of_speech
ਦਾੜ੍ਹਨਾ,داڑھنا,"verb, transitive"
ਸ਼ਾਮਤ,شامت,"noun, feminine"
ਗੋਤਾ ਆਉਣਾ,غوطہ آؤنا,conjunct verb
ਪਟਣ,,
ਬਗਲਗਨ,,
ਝੰਬੇਲਾ,,
ਜਰਾਇਮ ਪੇਸ਼ਾ,جرائم پیشہ,adjective
ਬੋਟੀ,بوٹی,"noun, feminine"
ਡਮ੍ਹਣਾ,,
ਗਿਰਦਾਵਰ,گِرداور,"noun, masculine"
ਉਲਝਾਊ,اُلجھاؤ,adjective
ਬਾਘਡ਼ਬਿਲਾੱ,,
ਕਿੱਲ੍ਹਣਾ,کِلّھنا,"verb, intransitive"
ਮਾਂਦ ਪੈਣਾ,ماند پَینا,conjunct verb
ਦੇਂਦਰੂ,,
ਅਨੈਤਿਕਤਾ,انَیتِکتا,"noun, feminine"
ਕਿਆਫ਼ਾ ਲਾਉਣਾ,قیافہ لاؤنا,conjunct verb
ਚੁਤ,,
ਸੰਕਲਪਵਾਦ,سنکلپواد,"noun, masculine"
ਉਛਾਲਣਾ,,
ਵੋਂਡੀ,,
ਤਿਲਕ ਲਾਉਣਾ,تِلک لاؤنا,conjunct verb
ਪਰਮ ਦੇਵਵਾਦ,پرم دیوواد,"noun, masculine"
ਫਰਨ ਫਰਨ,پھرن پھرن,adverb
ਉਹੀ,,
ਓਡਾ ਕੋਡਾ,اوڈا کوڈا,"adjective, masculine"
ਇਤਫ਼ਾਕ ਕਰਨਾ,اتفاق کرنا,conjunct verb
ਜਿਰਮ,جِرم,"noun, masculine"
ਬਸਾਖ,بساکھ,"noun masculine, dialectical usage"
ਝੰਜੋੜ,جھنجوڑ,verb
ਰੂੰਗਾ,رونگا,"noun masculine, dialectical usage"
ਧੁਮਾਉਣਾ,دُھماؤنا,"verb, transitive"
ਖੇਮਾ,,
ਖਤਮ ਹੋਣਾ,ختم ہونا,conjunct verb
ਕੰਬ,کمب,verb
ਜਿਜਮਾਨੀ,,
ਨੀਲਕੀਲ,,
ਦਵਾਪਰ,,
ਅੱਠੋਂ,,
ਘੌਲ਼,گھول,"noun, feminine"
ਸਹਿਨਯੋਗ,سہِنیوگ,adjective
ਭੜਕਣ,بھڑکن,"noun, feminine"
ਦੋਹਰਾ,دوہرا,"adjective, masculine"
ਕੁਸੱਤ,کُستّ,"noun, masculine"
ਵਿਆਹੁਤਾ,ویاہُتا,"adjective, feminine"
ਕਰੋਧੀ,کرودھی,adjective
ਲੌਂਡੱੀ,,
ਚੁਲਚੁਲ,,
ਦਾਰਨ,,
ਫਡ਼ਕਾ,,
ਖੜ੍ਹਾਉਣਾ,کھڑھاؤنا,"verb transitive, dialectical usage"
ਭਡ਼ਕ,,
ਕਪਡ਼ਧੂਲ,,
ਸੂਝ ਬੂਝ,سوجھ بُوجھ,"noun, feminine"
ਅਹਬੂ,,
ਮੰਘਾ,,
ਮੂਤਰਨਾ,مُوترنا,"verb, intransitive"
ਸ਼ਾਸਨ ਸੰਬੰਧੀ,شاسن سنبندھی,adjective
ਕੱਪੜਾ,کپّڑا,"noun, masculine"
ਨਿਘਾਰਣਾ,,
ਕਲ਼ੈਜਾ ਧੜਕਣਾ,کلَیجا دھڑکنا,phrase
ਨਧਡ਼ਕ,,
